run_id,batch_label,column,metric,value
2021-W13-2026-07-07T00:46:33.594148+00:00,2021-W13,price,mean,16121.131471389646
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,price,mean,15916.552423564504
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,price,mean,15886.515902157947
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,price,mean,15477.08738222797
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,price,mean,14687.48275130779
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,price,mean,14824.173845254336
2021-W13-2026-07-07T00:46:33.594148+00:00,2021-W13,mileage,mean,102799.79223433243
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,mileage,mean,106469.26344510933
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,mileage,mean,105474.99678346759
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,mileage,mean,107676.84538065396
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,mileage,mean,109345.28645468886
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,mileage,mean,108203.93936418582
2021-W13-2026-07-07T00:46:33.594148+00:00,2021-W13,year,mean,2009.6103542234332
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,year,mean,2010.3427293064876
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,year,mean,2010.1555473957744
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,year,mean,2010.0211014635547
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,year,mean,2009.5182265893775
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,year,mean,2009.3829879382404
2021-W13-2026-07-07T00:46:33.594148+00:00,2021-W13,price,null_rate,0.0
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,price,null_rate,0.0
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,price,null_rate,0.0
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,price,null_rate,0.0
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,price,null_rate,0.0
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,price,null_rate,0.0
2021-W13-2026-07-07T00:46:33.594148+00:00,2021-W13,mileage,null_rate,0.0
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,mileage,null_rate,0.009284116331096198
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,mileage,null_rate,0.007710993108123376
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,mileage,null_rate,0.007512777880411356
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,mileage,null_rate,0.006586078514538856
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,mileage,null_rate,0.0075358929383486
2021-W13-2026-07-07T00:46:33.594148+00:00,2021-W13,year,null_rate,0.0
2021-W14-2026-07-07T00:46:35.743387+00:00,2021-W14,year,null_rate,0.0
2021-W15-2026-07-07T00:47:00.838004+00:00,2021-W15,year,null_rate,0.0
2021-W16-2026-07-07T00:47:35.000734+00:00,2021-W16,year,null_rate,0.0
2021-W17-2026-07-07T00:48:25.517543+00:00,2021-W17,year,null_rate,0.0
2021-W18-2026-07-07T00:50:07.738745+00:00,2021-W18,year,null_rate,0.0
